iso3,sdg_id,sdg_progress,sdg_status
AFG,1,grey,
ALB,1,yellow,On Track
DZA,1,yellow,Moderately Increasing
AND,1,grey,
AGO,1,red,Decreasing
ATG,1,grey,
ARG,1,yellow,Moderately Increasing
ARM,1,yellow,Moderately Increasing
AUS,1,yellow,Moderately Increasing
AUT,1,green,On Track
AZE,1,green,On Track
BHS,1,grey,
BHR,1,grey,
BGD,1,orange,On Track
BRB,1,yellow,Stagnating
BLR,1,green,On Track
BEL,1,green,On Track
BLZ,1,red,Decreasing
BEN,1,red,Stagnating
BTN,1,yellow,Moderately Increasing
BOL,1,yellow,Moderately Increasing
BIH,1,green,On Track
BWA,1,red,Stagnating
BRA,1,yellow,Stagnating
BRN,1,grey,
BGR,1,green,On Track
BFA,1,red,Stagnating
BDI,1,red,Decreasing
CPV,1,orange,Moderately Increasing
KHM,1,orange,Moderately Increasing
CMR,1,red,Stagnating
CAN,1,yellow,On Track
CAF,1,red,Stagnating
TCD,1,red,Decreasing
CHL,1,yellow,On Track
CHN,1,green,On Track
COL,1,orange,Decreasing
COM,1,red,Stagnating
COD,1,red,Stagnating
COG,1,red,Decreasing
CRI,1,orange,Moderately Increasing
CIV,1,red,Moderately Increasing
HRV,1,green,On Track
CUB,1,grey,
CYP,1,green,On Track
CZE,1,green,On Track
DNK,1,green,On Track
DJI,1,orange,Moderately Increasing
DMA,1,grey,
DOM,1,green,On Track
ECU,1,orange,Decreasing
EGY,1,orange,Stagnating
SLV,1,yellow,On Track
GNQ,1,grey,
ERI,1,grey,
EST,1,yellow,Moderately Increasing
SWZ,1,red,Stagnating
ETH,1,orange,On Track
FJI,1,yellow,Moderately Increasing
FIN,1,green,On Track
FRA,1,green,On Track
GAB,1,orange,Stagnating
GMB,1,orange,Moderately Increasing
GEO,1,yellow,On Track
DEU,1,green,On Track
GHA,1,orange,Moderately Increasing
GRC,1,yellow,On Track
GRD,1,grey,
GTM,1,orange,Moderately Increasing
GIN,1,red,Decreasing
GNB,1,red,Stagnating
GUY,1,yellow,On Track
HTI,1,red,Stagnating
HND,1,red,Stagnating
HUN,1,green,On Track
ISL,1,green,On Track
IND,1,orange,Moderately Increasing
IDN,1,orange,Moderately Increasing
IRN,1,yellow,Moderately Increasing
IRQ,1,orange,Decreasing
IRL,1,green,On Track
ISR,1,orange,On Track
ITA,1,yellow,Moderately Increasing
JAM,1,yellow,Stagnating
JPN,1,yellow,On Track
JOR,1,green,On Track
KAZ,1,green,On Track
KEN,1,red,Stagnating
KIR,1,grey,
PRK,1,grey,
KOR,1,yellow,Moderately Increasing
KWT,1,grey,
KGZ,1,yellow,Moderately Increasing
LAO,1,orange,Moderately Increasing
LVA,1,yellow,Moderately Increasing
LBN,1,green,On Track
LSO,1,red,Stagnating
LBR,1,red,Stagnating
LBY,1,grey,
LIE,1,grey,
LTU,1,yellow,Moderately Increasing
LUX,1,yellow,On Track
MDG,1,red,Stagnating
MWI,1,red,Stagnating
MYS,1,green,On Track
MDV,1,green,On Track
MLI,1,red,Stagnating
MLT,1,green,On Track
MHL,1,grey,
MRT,1,orange,Moderately Increasing
MUS,1,green,On Track
MEX,1,orange,Moderately Increasing
FSM,1,grey,
MDA,1,green,On Track
MCO,1,grey,
MNG,1,yellow,On Track
MNE,1,yellow,On Track
MAR,1,yellow,Moderately Increasing
MOZ,1,red,Stagnating
MMR,1,orange,Moderately Increasing
NAM,1,red,Decreasing
NRU,1,grey,
NPL,1,orange,Moderately Increasing
NLD,1,green,On Track
NZL,1,yellow,On Track
NIC,1,yellow,Stagnating
NER,1,red,Stagnating
NGA,1,red,Decreasing
MKD,1,yellow,On Track
NOR,1,green,On Track
OMN,1,grey,
PAK,1,orange,Stagnating
PLW,1,grey,
PAN,1,yellow,Moderately Increasing
PNG,1,red,Stagnating
PRY,1,yellow,On Track
PER,1,yellow,Moderately Increasing
PHL,1,orange,Moderately Increasing
POL,1,green,On Track
PRT,1,yellow,On Track
QAT,1,grey,
ROU,1,yellow,On Track
RUS,1,green,On Track
RWA,1,red,Stagnating
WSM,1,yellow,Moderately Increasing
SMR,1,grey,
STP,1,red,Stagnating
SAU,1,grey,
SEN,1,red,Stagnating
SRB,1,green,On Track
SYC,1,grey,
SLE,1,red,Stagnating
SGP,1,green,On Track
SVK,1,green,On Track
SVN,1,green,On Track
SLB,1,red,Stagnating
SOM,1,red,Decreasing
ZAF,1,red,Decreasing
SSD,1,red,Decreasing
ESP,1,yellow,Moderately Increasing
LKA,1,yellow,On Track
KNA,1,grey,
LCA,1,orange,Moderately Increasing
VCT,1,grey,
SDN,1,red,Decreasing
SUR,1,orange,Decreasing
SWE,1,green,On Track
CHE,1,yellow,Moderately Increasing
SYR,1,grey,
TJK,1,yellow,On Track
TZA,1,red,Stagnating
THA,1,green,On Track
