iso3,country,index_score,index_rank,spillover_score,spillover_rank,region
AFG,Afghanistan,52.5,147,99.4,11,E. Europe & C. Asia
ALB,Albania,71.6,61,93.6,87,E. Europe & C. Asia
DZA,Algeria,71.5,64,97.4,51,MENA
AND,Andorra,,,,,E. Europe & C. Asia
AGO,Angola,50.9,154,97.2,56,Sub-Saharan Africa
ATG,Antigua and Barbuda,,,,,LAC
ARG,Argentina,72.8,54,95.9,68,LAC
ARM,Armenia,71.1,66,95.9,67,E. Europe & C. Asia
AUS,Australia,75.6,38,64.9,141,OECD
AUT,Austria,82.3,5,59.4,151,OECD
AZE,Azerbaijan,73.5,50,97.3,52,E. Europe & C. Asia
BHS,"Bahamas, The",,,,,LAC
BHR,Bahrain,64.3,102,79,119,MENA
BGD,Bangladesh,64.2,104,97.9,38,East & South Asia
BRB,Barbados,70.3,73,87.9,106,LAC
BLR,Belarus,76,34,84.5,114,E. Europe & C. Asia
BEL,Belgium,79.7,18,54,156,OECD
BLZ,Belize,65.7,100,91,98,LAC
BEN,Benin,51.2,153,98.5,35,Sub-Saharan Africa
BTN,Bhutan,70.5,70,93.4,89,East & South Asia
BOL,Bolivia,68,90,97.8,41,LAC
BIH,Bosnia and Herzegovina,71.7,59,91.6,95,E. Europe & C. Asia
BWA,Botswana,61.4,116,85.2,112,Sub-Saharan Africa
BRA,Brazil,72.8,53,97.8,42,LAC
BRN,Brunei Darussalam,67.1,93,67.3,133,East & South Asia
BGR,Bulgaria,74.3,42,88.2,105,E. Europe & C. Asia
BFA,Burkina Faso,54.5,138,99.2,16,Sub-Saharan Africa
BDI,Burundi,54.1,141,99.8,2,Sub-Saharan Africa
CPV,Cabo Verde,,,,,Sub-Saharan Africa
KHM,Cambodia,63.8,107,97.6,47,East & South Asia
CMR,Cameroon,55.5,134,99.2,18,Sub-Saharan Africa
CAN,Canada,77.7,29,65,140,OECD
CAF,Central African Republic,39.3,162,99.3,15,Sub-Saharan Africa
TCD,Chad,41.3,161,99.5,6,Sub-Saharan Africa
CHL,Chile,77.8,28,90.7,99,OECD
CHN,China,72.4,56,94.8,76,East & South Asia
